콘텐츠아이디,콘텐츠분류,제목,언어,타이틀,연관콘텐츠,지번주소,도로명주소,위도,경도,탐나오연동여부,평점,소셜네트워크주소,조회수,외부검색어,좋아요수,리뷰수,북마크수,일정등록수,다녀왔어요수,웹사용여부,모바일사용여부,공개여부,작성상태,사용여부,작성상태_1,영문웹사용여부,중문웹사용여부,일문웹사용여부,영문작성상태,중문작성상태,일문작성상태,영문공개여부,중문공개여부,일문공개여부,영문모바일사용여부,중문모바일사용여부,일문모바일사용여부,영문승인일시,중문승인일시,일문승인일시,등록자,등록일시,수정자,수정일시,소셜네트워크공유수,인기점수,트립어드바이저코드,우편번호,템플릿여부,번역요청일시,영문번역요청일시,중문번역요청일시,일문번역요청일시,페이지검색어자동여부,영문페이지검색어자동여부,중문페이지검색어자동여부,일문페이지검색어자동여부,사진공유수,번체웹사용여부,말레이어웹사용여부,번체작성상태,말레이어작성상태,번체공개여부,말레이어공개여부,번체모바일사용여부,말어모바일사용여부,번체승인일시,말레이어승인일시,번체번역요청일시,말레이어번역요청일시,번체검색어자동여부,말레이어검색어자동여부
CNTS_000000000021460,관광지,돔베낭길,국문,돔베낭길,,제주특별자치도 서귀포시 호근동 1619,제주특별자치도 서귀포시 태평로92번길 49,33.239983,126.53188,y,,,6487,,1,0,41,0,0,y,y,y,y,y,,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-12-27,anonymous,2023-03-14,11,12977,,63571,n,2016-12-27,2016-12-27,2016-12-27,2016-12-27,y,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000018885,관광지,송악카트체험장,국문,송악카트체험장,,제주특별자치도 서귀포시 대정읍 상모리 139,제주특별자치도 서귀포시 대정읍 송악관광로 404,33.20824,126.28927,y,,,6644,,0,0,58,0,0,y,y,y,y,y,,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-10-17,anonymous,2023-03-15,3,13288,,63513,n,2016-10-17,2016-10-17,2016-10-17,2016-10-17,n,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000018801,관광지,하늘여행 행글라이더체험장,국문,하늘여행 행글라이더체험장,,제주특별자치도 서귀포시 안덕면 서광리 775,제주특별자치도 서귀포시 안덕면 중산간서로 1877,33.28845182,126.3165592,y,,,11817,,1,0,46,0,0,y,y,y,y,y,2019-08-20,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-10-14,anonymous,2023-03-15,19,23637,,63522,n,2016-10-14,2016-10-14,2016-10-14,2016-10-14,y,n,n,n,,,,,,,,,,,,,,,
CNTS_200000000014209,음식점,찰리아저씨맛집,국문,찰리아저씨맛집,,제주특별자치도 제주시 한경면 고산리 2768-2,제주특별자치도 제주시 한경면 용고로 118-2,33.3031554,126.1774634,y,0,,74,,0,0,0,0,0,y,y,y,y,y,2022-12-08,,,,m,m,m,,,,,,,,,,olaolab02,2022-12-06,olaolab02,2023-03-14,0,148,,,n,2022-12-06,,,,y,n,n,n,0,,,m,m,,,,,,,,,n,n
CNTS_000000000022042,관광지,해적잠수함,국문,해적잠수함,,제주특별자치도 제주시 한경면 고산리 3615-6,제주특별자치도 제주시 한경면 노을해안로 1146,33.308254,126.1647,y,5,,13909,,2,2,71,0,0,y,y,n,y,y,2018-11-26,y,y,y,y,m,m,y,y,y,y,y,y,2018-11-26,,,anonymous,2017-06-30,anonymous,2023-03-15,5,27834,3681899,,n,2017-06-30,2018-11-26,2017-06-30,2017-06-30,y,y,n,n,3,,,,,,,,,,,,,,
CNTS_000000000022871,관광지,영모원,국문,영모원,,제주특별자치도 제주시 애월읍 하귀리 1130-1,제주특별자치도 제주시 애월읍 하귀리 1130-1,33.47222,126.41828,y,,,2857,,2,0,1,0,0,y,y,y,y,y,2018-06-14,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2018-03-28,anonymous,2023-03-15,4,5720,,,n,2018-03-28,2018-03-28,2018-03-28,2018-03-28,n,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000022891,숙박,편백나무 한옥펜션 먼나머루,국문,편백나무 한옥펜션 먼나머루,,제주특별자치도 제주시 조천읍 와흘리 446,제주특별자치도 제주시 조천읍 남조로 2537,33.489376,126.65007,y,,,551,,0,0,0,0,0,y,y,n,y,y,,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2018-03-30,anonymous,2022-02-14,0,1102,,63344,n,2018-03-30,2018-03-30,2018-03-30,2018-03-30,n,n,n,n,,,,,,,,,,,,,,,
CNTS_200000000006526,관광지,2.34E+16,국문,,,서울 구로구 개봉동 169-1 ,서울 구로구 개봉로23가길 3 (개봉동) ,,,y,0,,0,,0,0,0,0,0,,,,u,y,,,,,m,m,m,,,,,,,,,,anonymous,2018-05-24,anonymous,2018-06-05,0,,,806-152,n,,,,,n,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000006527,음식점,xcvxvcxv,국문,,,서울 관악구 봉천동 1540-2 ,서울 관악구 참숯길 3 (봉천동) ,,,y,0,,0,,0,0,0,0,0,,,,u,y,,,,,m,m,m,,,,,,,,,,anonymous,2018-05-24,anonymous,2018-06-05,0,,,842-151,n,,,,,n,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000006528,관광지,7.78E+19,국문,,,서울 강남구 대치동 904-11 ,서울 강남구 역삼로77길 5 (대치동) ,,,y,0,,0,,0,0,0,0,0,,,,u,y,,,,,m,m,m,,,,,,,,,,anonymous,2018-05-24,anonymous,2018-06-05,0,,,841-135,n,,,,,n,n,n,n,0,,,,,,,,,,,,,,
