구직신청번호,성별,나이,학력공통코드,학력공통코드명,희망근무지역(시도)_1,희망근무지역명(시군구)_1,희망근무지역명(시도)_2,희망근무지역명(시군구)_2,희망직종공통코드,희망직종공통코드명,희망직종경력년수,희망직종경력년_월수,구직인증상태공통구분,구직인증상태공통구분명,검색키워드1,검색키워드2,검색키워드3,검색키워드4,검색키워드5,등록일시,수정일시
H310202307102477,여,71,J00104,중학교,서울,도봉구,서울,,550104,재가 요양보호사,12,12년0월,J03404,알선,,,,,,14:01.0,14:05.0
H319202307102475,남,74,J00106,고등학교,서울,영등포구,서울,구로구,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",21,21년0월,J03404,알선,,,,,,13:22.0,13:25.0
H322202307102460,여,60,J00106,고등학교,서울,서초구,서울,강남구,901400,원예작물 재배원,,신입,J03402,승인,,,,,,11:45.0,11:49.0
H001202307102448,남,63,J00110,대학_대학교,서울,노원구,서울,중랑구,26101,경영 기획 사무원,35,35년0월,J03402,승인,,,,,,10:10.0,16:23.0
H318202307102447,여,58,J00106,고등학교,서울,금천구,,,550104,재가 요양보호사,8,8년0월,J03402,승인,,,단시간,,,10:07.0,10:10.0
H324202307102429,여,57,J00106,고등학교,서울,송파구,서울,강동구,550104,재가 요양보호사,1,1년6월,J03404,알선,,,,,,07:32.0,07:36.0
H319202307102415,남,57,J00106,고등학교,서울,영등포구,,,824102,"전기용접원(아크,알곤,티그용접원)",20,20년0월,J03402,승인,,,,,,05:35.0,05:42.0
H001202307102399,남,68,J00106,고등학교,서울,강남구,서울,영등포구,562300,주차 관리?안내원,2,2년0월,J03402,승인,주차 관리?안내원,경비원(건물 관리원),"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,,03:45.0,31:09.0
H325202307102395,여,67,J00102,초등학교,서울,강동구,,,561100,청소원,5,5년0월,J03404,알선,,,,,,03:32.0,03:36.0
H307202307102390,여,62,J00102,초등학교,서울,중랑구,서울,,550104,재가 요양보호사,2,2년3월,J03404,알선,,,,,,02:52.0,02:56.0
H324202307102388,남,26,J00110,대학_대학교,서울,송파구,서울,강동구,415400,시각 디자이너,,신입,J03404,알선,,,,,,02:37.0,02:42.0
H309202307102377,여,64,J00104,중학교,서울,강북구,,,550104,재가 요양보호사,5,5년0월,J03404,알선,,,,,,01:27.0,01:31.0
H001202307102370,여,50,J00110,대학_대학교,서울,,,,214404,기타 예능 강사(바둑?웅변?연기?꽃꽂이?종이접기 등),,신입,J03402,승인,,,,,,00:02.0,17:54.0
H319202307102364,남,61,J00106,고등학교,서울,영등포구,,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03402,승인,학교,야간당직,당직,,,59:20.0,59:25.0
H325202307102361,여,66,J00110,대학_대학교,서울,강동구,서울,송파구,550200,육아 도우미(베이비시터),,신입,J03402,승인,,,,,,59:07.0,59:14.0
